training_hours,target
36,1
47,0
83,0
52,1
8,0
24,1
24,0
18,1
46,1
123,0
32,1
108,0
23,0
24,0
26,0
18,0
106,0
7,0
23,1
132,1
68,0
50,0
48,0
65,0
13,0
22,0
148,1
72,0
8,1
68,1
40,0
141,0
24,0
82,0
145,0
206,0
152,0
42,1
50,0
106,0
14,0
36,0
112,1
108,0
7,1
26,1
87,1
52,1
20,1
21,0
92,1
102,0
26,0
7,0
43,0
45,0
52,0
19,0
32,1
26,1
90,0
25,0
15,0
48,0
98,0
142,1
13,0
47,0
28,0
228,1
22,0
18,1
29,0
46,0
12,0
17,0
65,0
35,0
14,0
4,0
12,0
108,0
136,0
27,0
74,0
86,0
83,0
75,0
42,0
332,0
140,0
182,0
13,1
172,1
48,0
33,0
142,0
34,0
14,1
27,1
24,1
150,0
20,0
140,0
52,0
160,0
3,0
2,1
28,0
46,0
210,0
36,0
160,1
101,0
46,0
19,0
26,1
90,0
59,0
260,0
74,0
20,1
8,0
131,0
45,0
109,0
70,0
17,0
51,0
60,1
4,0
7,0
164,0
290,0
145,0
70,0
24,0
133,1
20,0
76,0
21,1
34,0
15,0
156,0
15,0
120,0
47,0
100,1
102,0
52,0
39,0
112,1
14,0
4,0
55,0
49,1
72,0
141,1
28,0
6,0
125,0
326,0
33,0
40,0
198,1
55,0
32,0
11,0
41,0
87,1
114,0
33,0
15,0
8,0
22,0
13,0
246,0
22,0
81,0
11,0
24,1
50,0
15,0
31,0
84,0
42,0
105,1
72,0
42,1
152,0
60,0
8,0
17,1
33,0
38,0
178,0
11,0
87,0
84,0
